"Key","en","fr","es","zh","hi","ar","pt","ru","ja","de","ko","tr","it","vi","pl","nl","th","cs","bn","id","ur","te","mr","ta","gu","uk","fil","ms","ro","hu","el","sv","da","no","fi","he","fa","ml"
"greetings-afternoon-2","Good day","Bonne journée","Buen día","再会","आपका दिन शुभ हो","يوم جيد","Bom dia","Добрый день","良い一日","Guten Tag","안녕하세요","İyi günler","Buona giornata","ngày tốt","Dobry dzień","Goededag","ขอให้เป็นวันที่ดี","Dobrý den","শুভ দিন","Selamat tinggal","اچھا دن","మంచి రోజు","शुभ दिवस","நல்ல நாள்","અનેક દિવસ","Хороший день","Magandang araw","Selamat hari","O zi buna","Jó nap","Καλή μέρα","God dag","God dag","God dag","Hyvää päivää","יום טוב","روز خوب","ശുഭദിനം"
"greetings-evening-1","Good evening","Bonne soirée","Buenas noches","晚上好","नमस्ते","مساء الخير","Boa noite","Добрый вечер","こんばんは","Guten Abend","좋은 저녁이에요","İyi akşamlar","Buonasera","Buổi tối vui vẻ","Dobry wieczór","Goedeavond","สวัสดีตอนเย็น","Dobrý večer","শুভ সন্ধ্যা","Selamat malam","شام بخیر","శుభ సాయంత్రం","शुभ संध्या","மாலை வணக்கம்","શુભ સાંજ","Добрий вечір","Magandang gabi","Selamat petang","Bună seara","Jó estét","Καλό απόγευμα","God kväll","God aften","God kveld","Hyvää iltaa","ערב טוב","عصر بخیر","ഗുഡ് ഈവനിംഗ്"
"greetings-late-1","Good night","Bonne nuit","Buenas noches","晚安","शुभ रात्रि","طاب مساؤك","Boa noite","Спокойной ночи","おやすみ","Gute Nacht","안녕히 주무세요","İyi geceler","Buona notte","Chúc ngủ ngon","Dobranoc","Welterusten","ราตรีสวัสดิ์","Dobrou noc","শুভ রাত্রি","Selamat malam","شب بخیر","శుభ రాత్రి","शुभ रात्री","இனிய இரவு","શુભ રાત્રી","Надобраніч","Magandang gabi","Selamat Malam","Noapte bună","Jó éjszakát","Καληνυχτα","Godnatt","Godnat","God natt","Hyvää yötä","לילה טוב","شب بخیر","ശുഭ രാത്രി"
"greetings-late-2","Get some rest","Se reposer","Descansar un poco","休息一下","कुछ आराम मिलना","خذ قسطا من الراحة","Descanse um pouco","Отдохни","少し休む","Erhol dich etwas","좀 쉬","Biraz dinlen","Riposati","Nghỉ ngơi chút đi","Odpocząć","Rust wat uit","รับส่วนที่เหลือบางส่วน","Trochu odpočinout","কিছুক্ষণ বিশ্রাম নাও","Istirahatlah","کچھ آرام کر لو","కొంచెము విశ్రాంతి తీసుకో","थोडा विश्रांती घ्या","கொஞ்சம் ஓய்வு பெறுங்கள்","થોડો આરામ કર","Відпочити","Magpahinga ka","Berehat","Odihneste-te","Pihenj egy kicsit","Ξεκουράσου","Vila lite","Få lidt hvile","Få litt hvile","Levätä","לנוח קצת","کمی استراحت کن","കുറച്ചു വിശ്രമിക്ക്"
"all-spending","All Spending","Toutes les dépenses","Todo el gasto","所有支出","सभी खर्च","كل الإنفاق","Todos os gastos","Все расходы","すべての支出","Alle Ausgaben","모든 지출","Tüm harcamalar","Tutte le spese","Tất cả chi tiêu","Wszystkie wydatki","Alle uitgaven","การใช้จ่ายทั้งหมด","Všechny výdaje","সমস্ত ব্যয়","Semua pengeluaran","تمام اخراجات","అన్ని ఖర్చు","सर्व खर्च","அனைத்து செலவினங்களும்","બધા ખર્ચ","Всі витрати","Lahat ng paggasta","Semua perbelanjaan","Toate cheltuielile","Minden kiadás","Όλες οι δαπάνες","Alla utgifter","Alle udgifter","Alle utgifter","Kaikki menot","כל ההוצאות","همه هزینه ها","എല്ലാ ചെലവുകളും"
"edit-data","Edit Data","Modifier les données","Editar datos","编辑数据","डेटा संपादित करें","تحرير البيانات","Editar dados","Редактировать данные","データを編集します","Daten bearbeiten","데이터 편집","Verileri Düzenle","Modifica i dati","Chỉnh sửa dữ liệu","Edytuj dane","Gegevens bewerken","แก้ไขข้อมูล","Upravit data","সম্পাদনা তথ্য","Edit data","ڈیٹا میں ترمیم کریں","డేటాను సవరించండి","डेटा संपादित करा","தரவைத் திருத்தவும்","ડેટા સંપાદિત કરો","Редагувати дані","I -edit ang data","Edit data","Editați datele","Adatok szerkesztése","Επεξεργασία δεδομένων","Redigera data","Rediger data","Rediger data","Muokata tietoja","ערוך נתונים","داده های ویرایش","ഡാറ്റ എഡിറ്റുചെയ്യുക"
"wallet-details","Account Details","Détails du compte","detalles de la cuenta","帐户详细资料","खाता विवरण","تفاصيل الحساب","Detalhes da conta","Детали учетной записи","アカウント詳細","Kontodetails","계정 세부 사항","hesap detayları","Dettagli account","Chi tiết tài khoản","Szczegóły Konta","Accountgegevens","รายละเอียดบัญชี","Detaily účtu","বিস্তারিত হিসাব","Detail akun","اکاؤنٹ کی تفصیلات","ఖాతా వివరాలు","खाते तपशील","கணக்கு விவரங்கள்","ખાતાની માહિતી","Деталі облікового запису","Mga detalye ng account","Perincian akaun","Detalii cont","Számla részletei","λεπτομέρειες λογαριασμού","Kontouppgifter","konto detaljer","kontodetaljer","tilin tiedot","פרטי חשבון","جزئیات حساب","അക്കൗണ്ട് വിശദാംശങ്ങൾ"
"budgets-details","Budgets Details","Détails des budgets","Detalles de presupuestos","预算细节","बजट विवरण","تفاصيل الميزانيات","Detalhes dos orçamentos","Бюджетные детали","予算の詳細","Budgetdetails","예산 세부 사항","Bütçe Ayrıntıları","Dettagli budget","Chi tiết ngân sách","Szczegóły budżetów","Budgettengegevens","รายละเอียดงบประมาณ","Podrobnosti o rozpočtech","বাজেটের বিশদ","Detail Anggaran","بجٹ کی تفصیلات","బడ్జెట్ల వివరాలు","बजेट तपशील","பட்ஜெட் விவரங்கள்","અંદાજપત્ર","Деталі бюджетів","Mga detalye ng badyet","Butiran belanjawan","Detalii despre bugete","Költségvetési részletek","Λεπτομέρειες προϋπολογισμού","Budgetdetaljer","Budgetter detaljer","Budsjetter detaljer","Budjettitiedot","פרטי תקציבים","جزئیات بودجه","ബജറ്റുകൾ വിശദാംശങ്ങൾ"
"categories-details","Categories Details","Catégories Détails","Detalles de categorías","类别详细信息","श्रेणियां विवरण","تفاصيل الفئات","Detalhes das categorias","Детали категорий","カテゴリの詳細","Kategorien Details","카테고리 세부 사항","Kategori Ayrıntıları","Dettagli delle categorie","Danh mục chi tiết","Szczegóły kategorii","Categorieën details","รายละเอียดหมวดหมู่","Podrobnosti kategorií","বিভাগের বিশদ","Detail Kategori","زمرے کی تفصیلات","వర్గాల వివరాలు","श्रेणी तपशील","வகை விவரங்கள்","શ્રેણીઓની વિગતો","Деталі категорій","Mga detalye ng kategorya","Butiran kategori","Detalii despre categorii","Kategóriák részletei","Λεπτομέρειες κατηγοριών","Kategorier detaljer","Kategorier detaljer","Kategorier detaljer","Luokat yksityiskohdat","פרטי קטגוריות","جزئیات دسته بندی","വിഭാഗങ്ങളുടെ വിശദാംശങ്ങൾ"
"titles-details","Titles Details","Titres Détails","Detalles de títulos","标题详细信息","शीर्षक विवरण","تفاصيل العناوين","Detalhes dos títulos","Название детали","タイトルの詳細","Titeldetails","제목 세부 사항","Başlık Detayları","Dettagli dei titoli","Tiêu đề chi tiết","Szczegóły tytułów","Titels Details","รายละเอียดชื่อเรื่อง","Podrobnosti titulů","শিরোনাম বিশদ","Detail Judul","عنوانات کی تفصیلات","శీర్షికల వివరాలు","शीर्षक तपशील","தலைப்புகள் விவரங்கள்","શીર્ષક","Деталі назви","Mga detalye ng pamagat","Butiran tajuk","Detalii despre titluri","Címek részletei","Λεπτομέρειες τίτλων","Titlar detaljer","Titler detaljer","Titler detaljer","Otsikkotiedot","פרטי כותרות","جزئیات عناوین","ശീർഷക വിശദാംശങ്ങൾ"
"edit-wallets","Edit Accounts","Modifier les comptes","Editar cuentas","编辑帐户","खाते संपादित करें","تحرير الحسابات","Editar contas","Редактировать счета","アカウントを編集します","Konten bearbeiten","계정 편집","Hesapları Düzenle","Modifica account","Chỉnh sửa tài khoản","Edytuj konta","Rekeningen bewerken","แก้ไขบัญชี","Upravit účty","অ্যাকাউন্ট সম্পাদনা করুন","Edit akun","اکاؤنٹس میں ترمیم کریں","ఖాతాలను సవరించండి","खाती संपादित करा","கணக்குகளைத் திருத்தவும்","હિસાબ સંપાદિત કરો","Редагувати рахунки","I -edit ang mga account","Edit akaun","Editați conturile","Fiókok szerkesztése","Επεξεργασία λογαριασμών","Redigera konton","Rediger konti","Rediger kontoer","Muokata tilejä","עריכת חשבונות","حسابها را ویرایش کنید","അക്കൗണ്ടുകൾ എഡിറ്റുചെയ്യുക"
